,Unnamed: 0,track_id,genre_name,sample_start,acousticness,danceability,energy,valence,liveness
0,0,5n9Ul19Pb8MROfm8eTI7UH,folk,25,0.0793,0.331,0.772,0.736,0.942
1,1,5VZBI8IGsDIvYkafL6HkmY,hip hop,20,0.591,0.71,0.775,0.545,0.392
2,2,5js0eS99CZbJpbZW6A9T95,soul,23,0.414,0.789,0.908,0.639,0.611
3,3,06JvX7FobdW07Qa81nghOl,rap,9,0.304,0.512,0.764,0.698,0.274
4,4,7s6bATcsdbDEt2XgZ15m5b,folk,17,0.0205,0.296,0.849,0.509,0.759
5,5,1c6Gl2V1HGYPprBmKJdiFj,folk,1,0.0714,0.567,0.665,0.598,0.177
6,6,265V7WPataAMH82iSlnCTq,soul,17,0.9,0.655,0.279,0.411,0.0935
7,7,3CwY9duCa29ye9TDno8mXT,r&b,11,0.00312,0.455,0.719,0.637,0.165
8,8,7MhPHehXOGqtWDY6DVaxKO,metal,12,0.179,0.514,0.36,0.27,0.109
9,9,7uoKWp4uoT57m2mgEHw0BT,folk,17,0.275,0.598,0.385,0.585,0.102
10,10,7sPLPOIORz3sLE2oNbpndr,funk,15,0.353,0.495,0.393,0.71,0.138
11,11,7El3m9y9hyEboQ9Ig7CZcR,reggae,2,0.00563,0.651,0.798,0.826,0.266
12,12,6MoB4CUkTSOGbnXvI0Tpe4,funk,2,0.494,0.6,0.282,0.228,0.174
13,13,7l5In0rLyHmqJhKlzZPtYo,jazz,0,0.435,0.433,0.529,0.543,0.309
14,14,1N0VXvVxSoMp66StV03Opo,rap,20,0.3,0.767,0.717,0.494,0.223
15,15,6KBsivP3Of4z2x6uNMAyE3,jazz,3,0.278,0.479,0.318,0.575,0.107
16,16,4p9naPxsiai1ayHWKvvhCS,jazz,10,0.703,0.678,0.382,0.775,0.124
17,17,4bAQzjDk9ONZ8gvm5YKEGE,metal,15,1.92e-05,0.404,0.948,0.701,0.0773
18,18,0SpAYfKBDclNahOhi33FBN,electronica,11,0.118,0.573,0.729,0.188,0.0846
19,19,6Xxzo80NVZRMNIy3AyWtKC,r&b,13,0.0136,0.715,0.499,0.25,0.477
20,20,5153LWKMJiMNIRCChGN4Ja,pop,21,0.0175,0.719,0.705,0.599,0.348
21,21,6pUBrvKfJL4qmn95mxU7rC,rap,21,0.0871,0.603,0.67,0.159,0.326
22,22,2sZ1zWeLaquu9tx8IUMuh7,jazz,20,0.937,0.428,0.3,0.235,0.168
23,23,0HhJONgN8RqKXDcUkrd09C,orchestra,15,0.959,0.237,0.0926,0.0882,0.134
24,24,2S6xQlcNIXDKb5gBLmbJbQ,orchestra,1,0.964,0.458,0.221,0.378,0.0653
25,25,7khETEkOwIV062HHvd9uom,soul,17,0.323,0.782,0.672,0.959,0.666
26,26,2nvPDtaDcVYXWVE3uO07Lm,classical,18,0.986,0.374,0.0214,0.128,0.0765
27,27,6ySx2PSSEKRLtpjAHf0q3B,soul,3,0.288,0.71,0.646,0.919,0.0976
28,28,3srs1LTSB8l74Gmbbl9B42,electronica,19,0.7,0.576,0.352,0.36,0.16
29,29,5rPF0gs7A5pe9fk69cewLT,electronica,16,0.384,0.913,0.19,0.359,0.107
30,30,0vB3z9Jp1OFTV9gZDYkVG1,soul,4,0.975,0.229,0.0723,0.0738,0.087
31,31,6OTlPhy0s4prvKU3jnuul4,orchestra,20,0.722,0.186,0.199,0.0373,0.13
32,32,4lhhYqzREcts4uOOqWHjRJ,soul,20,0.0747,0.712,0.8,0.685,0.0938
33,33,3NURF3IznpXjSnfSHySTmM,pop,21,0.00295,0.662,0.844,0.763,0.525
34,34,310Qd5lOzFStXKZB3zWCtE,hip hop,1,0.324,0.555,0.769,0.365,0.164
35,35,4GPTIeO2iutTDN9TlDFuq8,r&b,19,0.0626,0.553,0.772,0.258,0.153
36,36,3HG7JmO76uwy1R7he3qyqu,electronica,1,0.116,0.789,0.474,0.688,0.0423
37,37,20iH1uibQIUqNFk3wzG7AG,country,24,0.705,0.564,0.378,0.687,0.0723
38,38,3LXQR46zbau5Xn2vFbbhL6,jazz,24,0.98,0.509,0.00672,0.327,0.0842
